Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
1	-188.90706	139.81963	9.652875	-522.7957	90.962265	-0.10327881	0.20246704	-0.02419932	-0.3429483	10000	9.685754e-09	13529.805	-0.0015216984	-2628.4478	1.3829733	0.010741014	0.1063	79.0	2.1968026161193848
2	-155.12892	98.18186	-9.344166	-472.80884	90.45263	-12.327913	27.832441	-3.9526308	-53.7461	20000	-6.7055224e-09	7327.6494	-0.0010549588	-4367.626	1.3807596	0.008533545	0.0957	79.0	4.883467197418213
3	-130.91061	74.63147	-3.38305	-447.67593	96.81633	-73.56117	35.206852	-28.434713	-157.20793	30000	-7.4505807e-10	1672.4597	-0.0024004073	-118.460594	1.371865	0.013536198	0.1461	79.0	7.145923137664795
4	-121.10274	72.594826	-10.302346	-336.17624	102.902176	-70.04023	53.775127	-23.541706	-169.87436	40000	-6.519258e-10	1999.3665	-0.0017598763	-130.74191	1.352648	0.01232696	0.105799995	79.0	9.40749216079712
5	-80.399925	50.315178	20.036005	-249.8702	109.476746	-63.019714	33.902565	-24.787872	-164.86313	50000	-4.842877e-09	1483.4144	-0.0032583817	-472.79413	1.3255901	0.015400084	0.2033	79.0	11.678127765655518
6	-52.396698	28.099049	31.512186	-205.82289	115.32927	-41.56939	22.787786	-24.062119	-139.37024	60000	1.8626451e-09	1184.7258	-0.0051810807	-216.86356	1.2850821	0.01189015	0.18570001	79.0	13.942888021469116
7	-45.169815	55.262054	32.162334	-364.06284	134.19118	-30.526743	28.612062	-13.066477	-97.96651	70000	1.4901161e-09	1322.8975	-0.0039708577	-191.04549	1.2388594	0.015178303	0.2086	79.0	16.258554697036743
8	-41.320755	56.06288	39.82757	-240.06563	168.96	-28.834307	206.74515	-8.893958	-133.34941	80000	1.1175871e-09	1417.2014	-0.0023428528	-259.51215	1.1879944	0.012172701	0.1551	79.0	19.24178647994995
9	-55.50338	61.691246	60.85725	-242.35577	307.78262	-26.65508	161.36107	-5.5450377	-108.56767	90000	-1.8626452e-10	1588.3987	-0.0017480925	-213.23259	1.2018788	0.0076349033	0.0866	79.0	23.165092706680298
10	-96.915146	101.44017	40.450397	-284.96936	385.27777	-15.288042	133.0073	-2.6095614	-123.312706	100000	3.7252903e-09	1454.2328	-0.0029419728	-379.98212	1.1395187	0.011470463	0.1594	79.0	26.406235218048096
11	-54.36211	63.579506	34.60679	-197.67064	658.5	-19.49083	228.12202	-1.2937583	-117.634964	110000	-2.9802323e-09	621.57855	-0.0035062246	-152.28055	1.1143806	0.01109088	0.1636	79.0	31.245187997817993
12	-38.47861	45.866314	33.040073	-123.88923	883.8	-5.9752502	112.459045	2.6000934	-85.83016	120000	0.0	361.49072	-0.0031129413	-27.20321	1.1201198	0.010078488	0.1724	79.0	35.22913455963135
13	-45.140755	103.44351	39.75316	-323.16583	936.0	-9.6324835	120.9435	4.158099	-140.90527	130000	-3.7252904e-10	548.0576	-0.00092624984	-58.40619	1.083338	0.0056654117	0.042999998	79.0	39.53430962562561
