Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
1	-219.29358	112.73182	-14.004282	-553.3847	111.11905	-0.0070049544	0.059229545	0.11875449	-0.1098052	10000	1.4901161e-09	15237.721	-0.0012236811	-2322.2375	0.918938	0.0064031826	0.0692	79.0	2.477325916290283
2	-167.20238	125.46934	19.144886	-447.65228	106.853935	-11.337017	17.098574	-4.1062036	-39.722595	20000	-5.2154063e-09	9376.248	-0.0019154232	-5802.3096	0.91035736	0.007812947	0.06390001	79.0	4.893568277359009
3	-132.21422	60.58282	-11.229188	-466.3873	125.095894	-74.67611	133.04988	-16.152306	-284.19598	30000	4.842877e-09	2363.8262	-0.002923606	-358.59897	0.9081041	0.007454288	0.094900005	79.0	7.3740456104278564
4	-103.97411	87.59533	29.328371	-422.4691	127.22535	-61.76628	59.9814	-12.135147	-205.09833	40000	-3.7252904e-10	2158.22	-0.0015956344	-296.062	0.90219945	0.008418212	0.065500006	79.0	9.96981143951416
5	-85.21806	69.24022	2.1565278	-439.204	145.7931	-48.62461	80.94962	-14.858844	-168.09055	50000	1.4901161e-09	1992.5898	-0.002631934	-311.75995	0.900689	0.008201909	0.091299996	79.0	13.64022183418274
6	-67.01334	38.809994	18.602207	-226.35225	146.91667	-37.34879	36.779995	-10.538428	-111.50422	60000	-1.1175871e-09	1169.1321	-0.0034158155	-175.3344	0.88835734	0.010676111	0.0802	79.0	16.604731559753418
7	-48.339516	38.131477	50.872604	-316.86862	163.92982	-32.259644	46.26534	-10.383985	-112.433655	70000	-1.4901161e-09	1397.2039	-0.003335211	-257.39133	0.8781694	0.008918069	0.0839	79.0	19.515511512756348
8	-46.540077	107.249054	62.16863	-606.6074	196.575	-32.18107	196.93341	-5.7057085	-161.8393	80000	-2.4214386e-09	2663.471	-0.0020719985	-454.00253	0.8729736	0.008076996	0.0687	79.0	23.549266576766968
9	-41.267166	63.368423	27.04286	-242.21352	240.2069	-23.646921	134.55356	-3.0361211	-151.84021	90000	-7.4505807e-10	1392.6937	-0.002073872	-165.08148	0.8703743	0.0077779605	0.0656	79.0	27.863930702209473
10	-55.889374	67.50452	25.707403	-199.01714	528.8333	-27.217276	169.1166	-1.9097167	-142.22841	100000	-2.2351743e-09	1201.3862	-0.0021028884	-331.5018	0.86377317	0.0074934796	0.0821	79.0	33.20855188369751
11	-33.600662	66.00681	44.847725	-193.45041	678.0	-13.489522	135.08694	-0.56666017	-65.84412	110000	3.7252904e-10	694.7148	-0.0023344948	-56.820213	0.8560276	0.0051440336	0.071600005	79.0	39.45616793632507
12	-9.3314085	44.595257	59.06401	-89.31361	855.3	-13.345792	95.91674	0.46381652	-74.51428	120000	2.4214386e-09	470.11713	-0.0021100482	-50.727642	0.84761506	0.006591347	0.086	79.0	45.61130094528198
13	-63.43565	127.0909	92.13723	-274.12384	946.6	-10.956887	141.79149	3.9559324	-112.937775	130000	-1.1175871e-09	847.0267	-0.001613475	-104.30678	0.83018893	0.00825608	0.085300006	79.0	51.82686114311218
14	25.35712	21.826769	77.52356	-4.2046814	1000.0	-7.2757173	178.02937	11.391931	-74.744804	140000	-1.3038516e-09	213.86397	-0.0012934409	-71.51482	0.83452815	0.007157135	0.07129999	79.0	57.82189202308655
15	18.036505	22.914968	52.485065	-23.547424	1000.0	0.3356901	39.345215	19.469498	-35.495773	150000	-1.5832484e-09	106.65906	-0.0023721654	-17.962719	0.82709295	0.005542174	0.0748	79.0	64.30540370941162
16	25.095066	33.20242	65.84351	-32.757973	1000.0	0.14703056	95.92689	16.611746	-29.348595	160000	-2.2351743e-09	140.72478	-0.0013941114	-17.838503	0.8102253	0.006537348	0.07259999	79.0	70.9835901260376
17	15.134956	31.227789	58.35696	-61.87756	1000.0	-1.4669936	71.061325	14.512563	-34.673336	170000	1.1175871e-09	107.16079	-0.0016223602	-15.625273	0.7988967	0.0049371207	0.056599997	79.0	77.29927563667297
18	29.090515	26.295015	81.87298	-27.417772	1000.0	-1.7247574	58.395103	15.458392	-22.87245	180000	-2.7939677e-09	123.96112	-0.0018204262	-15.20561	0.78573084	0.0067480565	0.0717	79.0	83.7714684009552
19	23.74065	39.557083	82.11853	-34.438892	1000.0	-0.8374345	44.185734	17.805693	-15.102763	190000	0.0	130.62375	-0.0012597824	-19.403873	0.76674116	0.0028526853	0.0453	79.0	90.06454086303711
20	2.9413197	40.667885	75.37272	-73.846954	958.5	-0.13710098	108.457436	14.947615	-13.430153	200000	1.8626452e-10	143.91568	-0.000982133	-25.702114	0.75125563	0.0033922084	0.045900002	79.0	96.25549459457397
21	-4.9866257	48.326096	81.11352	-95.47251	1000.0	-2.1841834	15.591301	15.952111	-19.092064	210000	1.8626451e-09	164.47148	-0.0021559242	-20.851032	0.74197876	0.005630248	0.052699994	79.0	102.55570244789124
22	-13.232264	64.334946	64.11771	-146.38086	960.4	-2.36229	33.83513	14.603112	-17.254082	220000	7.4505807e-10	285.80756	-0.0018757817	-74.63663	0.72255564	0.0048552314	0.0486	79.0	108.68357801437378
23	19.813114	30.756357	75.3203	-35.09658	1000.0	-2.2032185	135.94879	34.378937	-49.922237	230000	-1.4901161e-09	111.47417	-0.0030371342	-39.716026	0.7253602	0.0033740054	0.0429	79.0	115.6328809261322
24	-50.710186	116.16464	59.210587	-277.54422	991.0	-3.4323976	54.913895	25.245922	-21.174335	240000	7.4505807e-10	548.7582	-0.0010896713	-232.80037	0.7101628	0.0048848377	0.034599997	79.0	121.60043668746948
25	1.3407867	45.21434	91.31005	-74.992546	1000.0	-1.4425281	278.75818	62.752876	-106.66508	250000	7.4505807e-10	162.30196	-0.0011113097	-63.34452	0.71157205	0.005162605	0.040799998	79.0	127.98031687736511
26	5.723763	38.165295	74.31828	-37.65454	1000.0	-2.1381335	83.8675	46.314407	-30.181524	260000	-1.0244549e-09	80.14854	-0.0017368495	-20.830008	0.7009586	0.0038840822	0.041500002	79.0	134.05697584152222
27	4.322274	31.034916	52.01108	-60.966057	1000.0	-1.9730957	111.58785	41.408257	-47.2732	270000	3.7252904e-10	121.49355	-0.0043449667	-48.94288	0.6872457	0.0047812397	0.0706	79.0	140.02985668182373
28	27.641521	27.998802	80.44011	-22.772005	1000.0	-2.2041397	72.86308	55.41668	-14.752958	280000	1.1175871e-09	91.830444	-0.002465219	-24.914196	0.67272645	0.0040053306	0.053400002	79.0	146.40364909172058
29	-7.8313203	109.613716	57.598373	-328.46576	984.0	0.8296451	88.45439	46.851925	-19.574512	290000	-1.1175871e-09	595.98334	-0.0010429455	-173.48416	0.6440517	0.004021122	0.034900002	79.0	152.54425430297852
30	-19.558264	125.48198	90.51171	-348.93347	990.6	-3.5867653	127.63804	43.666874	-153.2771	300000	-1.0244549e-09	583.9103	-0.0009926154	-231.88179	0.6385071	0.005821006	0.0423	79.0	159.23904085159302
31	26.648632	100.29256	136.36958	-212.03238	980.6	-6.751442	220.36612	50.75059	-119.44721	310000	-7.4505807e-10	449.91376	-0.00095386786	-135.41817	0.644032	0.0038337044	0.0445	79.0	165.40023970603943
32	62.007347	32.35699	140.79027	33.388836	989.7	1.9867809	72.47574	40.870422	-35.670547	320000	-7.4505807e-10	157.36642	-0.0013960626	-66.23658	0.6332366	0.0054385895	0.041100003	79.0	171.70262670516968
33	64.669655	24.64892	128.31099	31.957712	995.9	3.4672093	68.36665	38.500072	-19.250172	330000	1.8626451e-09	93.16992	-0.0012068107	-21.288227	0.63095033	0.0058517633	0.050399996	79.0	177.9369194507599
34	74.72124	42.58311	195.65657	36.95594	981.1	4.6038647	38.733765	39.753334	-9.468365	340000	1.8626451e-09	63.05351	-0.0006678157	-3.7431283	0.6314038	0.0044211475	0.062100004	79.0	184.16781187057495
35	37.508957	76.52872	95.82092	-179.21242	978.1	4.5264716	80.96503	51.056778	-82.02217	350000	-1.0244549e-09	145.53621	-0.0014603287	-33.756145	0.6155183	0.004015226	0.046600003	79.0	190.63376307487488
36	50.05078	102.71363	153.41077	-235.84773	984.8	4.361442	130.17192	54.479343	-38.75958	360000	-7.4505807e-10	632.593	-0.0008407986	-327.06543	0.6103507	0.008093369	0.059300005	79.0	197.43191576004028
37	122.968216	36.251793	183.23616	61.91121	921.4	6.258276	74.8215	68.036156	-25.360283	370000	2.2351743e-09	326.8641	-0.0021873754	-113.22453	0.60060996	0.004026202	0.0704	79.0	203.532972574234
38	105.61308	64.62373	225.14815	-18.941597	983.2	10.086151	55.92407	72.2179	-19.540312	380000	-7.4505807e-10	201.84952	-0.0012536442	-35.183887	0.56773585	0.008397901	0.0846	79.0	209.7946367263794
39	97.2837	35.180748	183.51701	39.98092	961.2	7.725729	86.698654	62.92161	-23.545652	390000	0.0	86.623795	-0.001295239	-37.54148	0.53295356	0.0038638352	0.0555	79.0	215.9555468559265
40	122.54533	77.043106	227.84686	13.855006	922.1	10.073681	73.04057	64.10399	-19.664762	400000	-2.9802323e-09	390.25766	-0.0010597727	-80.68816	0.5069603	0.006364508	0.056599997	79.0	221.3212766647339
41	123.93695	64.25153	194.82677	-39.54158	832.6	10.122444	78.68895	52.670887	-7.047553	410000	1.8626452e-10	266.8666	-0.000987032	-38.946804	0.4841737	0.004828848	0.0509	79.0	226.5566213130951
42	134.2316	80.01198	210.31909	-79.28721	773.7	12.32568	96.16833	62.186737	-9.783394	420000	-7.4505807e-10	327.2708	-0.00094594853	-49.406578	0.46711105	0.0025998666	0.0409	79.0	231.9153711795807
43	110.35935	112.506165	237.34496	-159.0255	828.0	15.114794	94.36852	63.889244	-17.46069	430000	-7.4505807e-10	708.10895	-0.0012532368	-185.2712	0.44267774	0.0037572612	0.0533	79.0	236.52569842338562
44	97.50321	104.23467	213.26141	-136.82846	891.3	12.355742	79.1621	67.428444	-20.375246	440000	-1.1175871e-09	452.26865	-0.0010897502	-204.27116	0.43008214	0.006521181	0.054300003	79.0	241.77513575553894
45	167.63239	77.32792	272.04	-40.997025	668.5	14.530263	219.95415	68.551056	-40.29473	450000	8.381903e-10	400.50467	-0.0014049904	-189.93124	0.41373911	0.0055550723	0.0541	79.0	246.44956517219543
46	119.38589	176.0144	251.03752	-352.53632	659.3	19.098066	250.21964	87.12672	-42.779335	460000	-3.7252904e-10	856.22656	-0.000995314	-453.51578	0.3816256	0.0058717215	0.054700006	79.0	250.72850561141968
47	215.72037	27.647833	258.20633	178.72093	707.6	19.300617	241.71652	85.490524	-52.655594	470000	1.4901161e-09	308.1629	-0.0014541504	-86.539	0.37584716	0.0067382357	0.0797	79.0	255.320903301239
48	188.99411	48.818867	246.18855	59.649784	661.1	19.950043	115.95363	74.33936	-29.240417	480000	1.1175871e-09	260.6315	-0.0007652997	-119.54927	0.33297858	0.004733757	0.0427	79.0	259.7121605873108
49	194.1057	45.55826	238.02515	105.93717	644.4	21.339663	197.40465	77.80017	-81.92511	490000	0.0	285.74503	-0.003401187	-60.95238	0.32049382	0.007705942	0.0781	79.0	264.3577597141266
50	202.63232	17.806515	235.11115	179.49677	609.9	20.285162	145.58728	82.45121	-5.8696966	500000	1.1175871e-09	137.78271	-0.0019631605	-49.107002	0.28380382	0.0048530623	0.0541	79.0	268.75149154663086
51	121.4329	144.06274	255.48465	-237.3643	693.3	28.23737	344.89578	86.483665	-50.809067	510000	0.0	1073.3608	-0.0009455521	-576.7521	0.25057966	0.0045827385	0.0541	79.0	273.5417950153351
52	171.32906	65.3065	237.93657	6.2044225	739.9	10.78909	213.73524	65.08279	-62.36298	520000	-2.2351743e-09	384.6745	-0.0023041253	-155.01631	0.2395627	0.007817637	0.050800003	79.0	278.1078038215637
53	144.77902	83.780525	238.68661	-24.679756	762.5	15.126067	208.768	65.34652	-77.39651	530000	2.2351743e-09	481.18222	-0.0017083734	-213.30327	0.22763248	0.004180045	0.065	79.0	284.4013452529907
54	209.741	29.033728	252.7095	169.38515	550.9231	19.935717	279.87473	84.72779	-22.512764	540000	7.823109e-09	246.3342	-0.0022584558	-121.64097	0.20925283	0.004823674	0.05	79.0	288.6882667541504
55	157.41678	100.1609	230.91048	-55.43483	606.4	24.610163	309.17746	84.8842	-6.257806	550000	-3.1664968e-09	303.38947	-0.0011943309	-60.758656	0.19780701	0.0035302464	0.053199995	79.0	293.03330063819885
56	204.16635	45.689217	253.69249	83.7458	525.46155	25.170868	204.7867	99.12186	-14.355337	560000	1.4901161e-09	287.78635	-0.0008359145	-56.454018	0.19552258	0.005147881	0.0527	79.0	297.4728670120239
57	145.1002	134.01208	262.5353	-183.73346	610.4545	29.08005	340.20267	120.12324	-39.401836	570000	-7.4505807e-10	809.9718	-0.0010676257	-394.6744	0.19084223	0.004979714	0.0352	79.0	301.6478657722473
