Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
28	481.84415	120.87296	593.88226	189.39192	1000.0	44.208145	318.45554	71.81434	-33.308407	280000	1.4901161e-09	221.1965	-0.01202255	-16.84789	0.6278933	0.024026945	0.3096	79.0	59.925819635391235
29	408.65747	209.81482	620.0434	-181.8449	1000.0	39.6737	634.6809	74.6542	-41.420364	290000	1.3038516e-09	230.34009	-0.015592381	-10.607459	0.6207874	0.023240307	0.3308	79.0	62.01863765716553
30	510.61908	133.49068	752.125	368.4289	1000.0	46.090015	278.8837	78.34022	-6.9658284	300000	2.0489097e-09	262.7334	-0.008023405	-31.963993	0.6112174	0.02295261	0.2716	79.0	64.10810780525208
31	559.0436	147.97083	761.12573	350.21964	1000.0	51.70728	237.61092	78.573616	2.3368695	310000	3.5390257e-09	327.71573	-0.0067721466	-28.16042	0.60437614	0.015792243	0.26590002	79.0	66.20892429351807
32	511.48257	162.87752	822.67694	240.06499	1000.0	49.680317	407.0296	89.35767	-42.14614	320000	2.2351743e-09	345.48416	-0.010198617	-18.244713	0.59556663	0.022003597	0.3004	79.0	68.30074548721313
33	668.4131	206.17314	951.8428	301.73175	1000.0	56.189213	405.03967	90.08727	-4.565235	330000	-3.5390257e-09	549.75476	-0.0072710365	-146.76367	0.58751744	0.021252783	0.27210003	79.0	70.39164996147156
34	611.3522	281.97455	941.13947	-83.757545	1000.0	62.004025	674.7476	114.66682	-29.727787	340000	-1.6763806e-09	348.41245	-0.006745373	-52.769054	0.5778425	0.02218825	0.2866	79.0	72.48614978790283
35	671.349	249.05429	1012.039	271.95532	1000.0	65.69341	415.63544	99.81546	6.023017	350000	1.3038516e-09	450.39395	-0.004781985	-58.978676	0.5699343	0.019398423	0.2671	79.0	74.58230209350586
36	758.3787	189.00832	983.125	473.0801	1000.0	68.56307	501.21185	111.668495	-59.334118	360000	-7.4505807e-10	448.0127	-0.014263677	-49.20293	0.56066895	0.023184562	0.3388	79.0	76.6897463798523
37	816.11707	133.213	988.19714	570.40546	1000.0	77.62901	276.23785	112.19299	11.658904	370000	1.4901161e-09	350.18362	-0.011139138	-34.709526	0.54883015	0.023472087	0.3215	79.0	78.78306984901428
