Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
28	72.9254	34.34643	146.71599	14.090771	1000.0	1.8763728	105.74698	38.272926	-11.080657	280000	-8.940697e-09	39.920982	-0.0042230813	-16.197758	0.8757655	0.004614222	0.068	79.0	105.60917162895203
29	43.878593	30.331028	100.11477	1.2052743	1000.0	4.081092	168.84961	43.22925	-8.880182	290000	1.1175871e-09	80.49422	-0.00034129812	-30.750235	0.85440314	0.0040631844	0.0347	79.0	109.8521409034729
30	104.29704	51.79788	196.69566	18.489962	954.7	3.5823812	34.143635	30.792473	-6.150027	300000	1.1175871e-09	151.47073	-0.0009693173	-40.466106	0.85787296	0.01547645	0.07750001	79.0	114.12296795845032
31	112.399376	68.09305	229.06801	32.305912	855.7	5.8978744	70.63351	40.833473	-7.7117643	310000	9.313226e-10	224.14224	-0.0010267384	-76.96572	0.86936295	0.0110245	0.0817	79.0	118.18451046943665
32	130.01268	64.10238	204.0152	48.83935	857.2	13.721078	234.95541	88.81804	-10.801196	320000	1.3038516e-09	237.59546	-0.0011244348	-34.583412	0.8299691	0.0077353036	0.0889	79.0	122.35754418373108
33	180.01907	58.86132	243.03246	65.09649	687.2	13.079013	101.540886	64.516426	-8.281676	330000	2.6077032e-09	277.4309	-0.00059542916	-90.83862	0.85837793	0.008986322	0.0812	79.0	126.51376962661743
34	179.10556	78.8023	249.44975	45.529034	713.7273	22.957403	210.36813	81.83299	-6.0976934	340000	1.1175871e-09	174.72234	-0.0005095118	-60.528248	0.8297945	0.007213278	0.0473	79.0	130.42015957832336
35	216.40306	26.507853	260.11606	165.9155	537.9091	23.177362	244.04076	112.80296	-11.969973	350000	-2.514571e-09	238.0983	-0.0010027112	-117.741806	0.8362185	0.0064813145	0.0681	79.0	133.79031896591187
36	183.74866	77.55356	275.12564	-5.726602	494.625	33.326454	182.80038	104.784515	-2.9616148	360000	7.4505807e-10	644.3201	-0.001089236	-160.92635	0.8138998	0.0052972375	0.0457	79.0	136.92881059646606
37	220.63747	18.037018	245.46329	175.61418	524.2	32.988907	134.79706	122.03115	-2.7214072	370000	-1.1175871e-09	333.78085	-0.00037253922	-110.54671	0.7919416	0.0016485756	0.020699998	79.0	140.3410484790802
38	200.21022	73.9315	260.8948	1.1723366	541.0714	31.18117	166.37383	118.938805	-9.643862	380000	7.4505807e-10	424.19614	-0.0008172329	-189.58972	0.7868686	0.0071930797	0.060500003	79.0	143.8141679763794
39	194.02823	76.68677	246.13724	-44.440838	447.4375	32.722168	220.20897	134.50505	-21.837782	390000	-1.4901161e-09	556.2821	-0.00092825515	-157.38522	0.7992193	0.006326323	0.0888	79.0	146.6980140209198
40	190.66632	73.47017	259.16086	9.273316	503.77777	36.281242	198.2566	102.22887	-4.796856	400000	-1.2107193e-09	699.1912	-0.0011607816	-249.09575	0.77633584	0.013637699	0.036900003	79.0	149.99220442771912
41	204.54097	58.204777	245.7579	24.397297	460.44446	36.323605	83.84397	94.90526	0.9229709	410000	-2.4214386e-09	379.76678	-0.0006160969	-113.5863	0.75071585	0.00920641	0.0482	79.0	152.9833118915558
42	212.01006	64.947174	263.92075	-22.40532	414.0	36.495842	243.95924	84.48035	-2.6484447	420000	7.4505807e-10	491.96542	-0.0011778222	-64.4857	0.755829	0.0042502605	0.045199998	79.0	155.88693952560425
43	207.87718	73.000435	273.97318	20.059423	455.3889	42.138382	261.92172	106.656685	-9.620279	430000	0.0	767.8749	-0.00048335493	-296.60904	0.73523104	0.0059710913	0.053799998	79.0	158.92289900779724
44	186.41312	82.343704	261.0476	11.102506	514.73334	39.809566	133.0572	84.41178	-11.933027	440000	1.4901161e-09	774.99335	-0.0004941327	-390.56998	0.7468996	0.006147668	0.0663	79.0	162.35845041275024
45	209.56577	45.309357	282.0855	119.272644	523.375	27.85422	310.69037	74.10219	-29.308447	450000	3.7252904e-10	451.21835	-0.0009754586	-105.56504	0.7365105	0.008614968	0.0857	79.0	165.40781593322754
46	222.97458	51.66403	252.2875	50.552578	493.7143	37.44985	226.2921	87.40561	-5.01905	460000	3.7252904e-10	541.1224	-0.00032509776	-216.71965	0.70156944	0.0042799665	0.023899999	79.0	168.66443824768066
47	206.33434	72.72635	277.73746	-13.936755	431.1579	35.776608	334.18463	88.86058	-14.41389	470000	-2.9802323e-09	507.72443	-0.0011019881	-142.41187	0.7069799	0.0033876419	0.026800001	79.0	171.58192896842957
48	205.22002	74.86158	276.7462	21.862312	359.4737	41.336063	176.97212	117.28483	-23.018095	480000	-1.8626451e-09	561.49164	-0.0010455446	-156.33846	0.71988714	0.007074964	0.04	79.0	174.424409866333
49	245.1946	15.98539	269.19464	213.8818	395.1579	46.06732	174.87051	103.66812	12.251928	490000	-7.4505807e-10	461.99844	-0.00024896994	-346.70743	0.70554936	0.0030965775	0.018800002	79.0	177.38801956176758
