Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
1	-1281.373	151.48228	-1019.0575	-1781.2943	200.0	0.18825573	0.59869576	0.6163226	-0.007467687	4000	4.0605663e-08	164858.55	-0.0007307137	-7669.7124	0.9189385	0.003045176	0.024	79.0	2.033053159713745
2	-1245.946	155.64871	-906.59485	-1751.6224	200.0	-12.417413	39.03801	-2.748418	-25.897617	8000	-2.9802322e-08	149302.42	-0.0012144152	-54106.9	0.9036292	0.009360769	0.045	79.0	3.0463247299194336
3	-1202.2625	189.69846	-910.1546	-1719.0448	200.0	-107.73712	346.23355	-13.606668	-204.80946	12000	1.0803342e-08	101185.1	-0.0016943855	-44773.55	0.9002264	0.005837296	0.054999996	79.0	4.10798978805542
4	-1226.2969	137.87827	-918.75244	-1779.7333	200.0	-276.98795	586.7599	-34.87162	-543.08777	16000	1.0430813e-08	62025.71	-0.0024500352	-12012.972	0.8816692	0.00581007	0.04275	79.0	5.126787900924683
5	-1193.2294	205.66435	-763.1913	-1670.2714	200.0	-325.6816	296.07578	-35.63415	-749.43365	20000	2.2351743e-09	52815.586	-0.0029100007	-10478.369	0.8666645	0.007056647	0.05125	79.0	6.136096477508545
6	-1204.3981	129.55673	-1014.84766	-1759.2299	200.0	-341.67996	137.44081	-54.65812	-652.1589	24000	5.5879354e-09	43510.71	-0.006066758	-9519.945	0.84768665	0.010621446	0.065	79.0	7.1895575523376465
7	-1196.2361	112.874535	-1040.1923	-1607.5707	200.0	-384.2661	99.35548	-126.713066	-711.25775	28000	-7.4505807e-10	32518.037	-0.0065164403	-5176.771	0.859863	0.0088209715	0.066	79.0	8.474529266357422
8	-1238.4885	127.30968	-1093.0027	-1599.5582	200.0	-402.9555	252.8784	-182.14537	-669.6666	32000	-5.9604646e-09	29499.719	-0.0047360403	-3277.273	0.8422047	0.009362988	0.0645	79.0	9.900171041488647
9	-1252.7473	248.6588	-902.5581	-1813.529	200.0	-422.38245	228.91998	-227.96118	-635.81274	36000	-1.4901161e-09	32943.03	-0.0027035237	-4531.646	0.82647467	0.0075561823	0.0585	79.0	11.040058612823486
10	-1148.1316	130.01588	-959.1894	-1603.5575	200.0	-419.76102	353.9853	-268.40253	-636.02844	40000	6.7055224e-09	23515.145	-0.005965721	-2621.151	0.80962944	0.008843151	0.0845	79.0	12.159970760345459
11	-1175.3424	205.34601	-910.24243	-1882.3793	200.0	-425.77304	179.15977	-330.401	-570.93085	44000	-1.1175871e-09	25945.629	-0.0023440223	-3683.5254	0.7587384	0.004082031	0.0425	79.0	13.320651292800903
12	-1294.3838	330.72385	-959.52136	-1860.0187	200.0	-440.74838	784.0337	-298.78198	-601.62366	48000	2.2351743e-09	27205.959	-0.0023537981	-1013.52234	0.74782646	0.009676139	0.06125	79.0	15.042723894119263
13	-1180.8801	172.00478	-976.8205	-1656.9799	200.0	-435.62878	372.0219	-295.76813	-587.1081	52000	-2.2351743e-09	21160.244	-0.0025397125	-775.9044	0.7391244	0.0059643034	0.053999998	79.0	16.789963483810425
14	-1188.649	215.81065	-931.9862	-1836.4061	200.0	-416.93732	828.74176	-287.13644	-605.3929	56000	-3.7252904e-10	22000.45	-0.004855843	-1911.7546	0.7281302	0.0094640795	0.08325	79.0	18.147769689559937
15	-1169.148	249.31702	-868.0831	-1846.9915	200.0	-412.87787	396.81927	-332.20242	-514.6583	60000	-4.4703485e-09	22670.246	-0.0020627526	-964.7186	0.70550454	0.007252836	0.04925	79.0	19.331889867782593
16	-1190.9226	184.275	-762.35156	-1836.7424	200.0	-413.47375	498.27167	-302.28354	-567.1649	64000	2.9802323e-09	20851.062	-0.002031325	-300.66953	0.6914786	0.0077735633	0.05725	79.0	20.374305963516235
17	-1147.278	194.6401	-883.6584	-1811.3685	200.0	-408.9518	644.9843	-289.0362	-602.3157	68000	-3.7252903e-09	19252.52	-0.0027107962	-912.6383	0.6896273	0.008355798	0.05375	79.0	21.41516613960266
18	-1149.6515	144.56226	-978.72986	-1653.7731	200.0	-392.76663	400.7713	-309.29922	-528.4905	72000	8.940697e-09	20026.166	-0.006335424	-428.31015	0.6731235	0.009288833	0.062	79.0	22.49719548225403
19	-1216.3894	344.30667	-820.9525	-1855.4714	200.0	-414.26526	587.2369	-330.96722	-520.65137	76000	7.4505807e-10	22491.096	-0.0013008039	-499.8872	0.65633476	0.005640462	0.033	79.0	23.545908212661743
20	-1150.769	251.33249	-905.69946	-1665.1587	200.0	-419.74445	602.9567	-342.9525	-575.96234	80000	-1.1175871e-09	18182.84	-0.0034854119	-264.68146	0.65180063	0.012353656	0.0695	79.0	24.95199227333069
21	-1233.2184	320.5128	-761.8193	-1838.6069	200.0	-427.27667	827.25665	-321.73383	-584.1226	84000	2.6077032e-09	23003.566	-0.0027369182	-401.06366	0.66440374	0.0062821954	0.066999994	79.0	26.206246614456177
22	-1122.1881	198.97618	-826.2143	-1837.0367	200.0	-403.1243	677.31213	-306.72076	-608.8995	88000	-7.4505807e-10	22656.166	-0.0029424743	-779.0487	0.64641017	0.0080139935	0.053249996	79.0	27.272167921066284
23	-1125.5234	213.56712	-978.248	-1853.3268	200.0	-397.42126	415.62057	-326.32574	-542.5058	92000	-1.4901161e-09	19697.506	-0.0028502406	-305.9337	0.6576911	0.007761656	0.0705	79.0	28.306415557861328
24	-1165.7722	338.6282	-867.40405	-1844.7333	200.0	-403.62396	810.0292	-330.9982	-582.7967	96000	4.4703485e-09	22624.367	-0.0021671816	-911.65216	0.65964717	0.006590426	0.05675	79.0	29.468027353286743
25	-1102.0813	160.95482	-996.22943	-1787.9066	200.0	-411.8169	608.93976	-340.228	-654.8141	100000	-4.4703485e-09	19410.605	-0.0037640526	-1774.3015	0.650737	0.006290636	0.0555	79.0	30.60382866859436
26	-1287.4208	335.19916	-993.70905	-1835.7279	200.0	-417.85162	500.63214	-350.46487	-507.0827	104000	1.4901161e-09	27192.816	-0.00150701	-3571.9946	0.6351282	0.005484651	0.051	79.0	31.829535245895386
27	-1151.4664	233.02505	-787.41016	-1834.4338	200.0	-433.26587	736.04694	-337.17462	-641.91473	108000	5.5879357e-10	23589.357	-0.0027110544	-1616.3958	0.62728035	0.007340553	0.05125	79.0	32.8997437953949
28	-1054.2507	48.46658	-895.39606	-1211.3662	200.0	-387.91	212.06729	-309.05225	-575.2114	112000	2.9802323e-09	15387.484	-0.006404756	-1465.0928	0.6325717	0.0076492503	0.063	79.0	33.95027709007263
29	-1134.2147	172.03073	-1006.0037	-1761.8439	200.0	-393.12775	506.07816	-320.0746	-534.6153	116000	1.4901161e-09	16052.878	-0.0062151286	-209.75586	0.6103903	0.00712992	0.0825	79.0	35.0331768989563
30	-1087.1605	193.69055	-857.7809	-1608.9285	200.0	-380.8291	446.6869	-319.76202	-513.6406	120000	0.0	14768.795	-0.0038148486	-895.7832	0.5948187	0.0056945467	0.04925	79.0	36.095593214035034
31	-1051.8594	129.72003	-879.975	-1449.3352	200.0	-373.28458	563.0773	-308.17133	-587.5249	124000	7.823109e-09	14523.354	-0.0047676936	-867.2111	0.5843997	0.004557644	0.04975	79.0	37.15619707107544
32	-1086.5585	192.4229	-887.68176	-1824.1832	200.0	-382.51624	438.97195	-322.957	-499.75684	128000	-4.656613e-11	17177.213	-0.0022937055	-1086.7556	0.5772909	0.00355567	0.063999996	79.0	38.21694302558899
33	-1058.7865	53.181572	-903.84607	-1236.2434	200.0	-385.08408	405.9259	-321.30548	-560.2117	132000	-1.4901161e-09	13612.169	-0.0018535418	-435.34894	0.5733517	0.0074619413	0.05575	79.0	39.2793333530426
34	-1049.5836	79.99038	-903.3028	-1213.8004	200.0	-371.68924	288.85815	-313.6495	-535.8419	136000	-6.7055224e-09	12882.782	-0.0028836753	-194.31792	0.5585269	0.006277533	0.055	79.0	40.33984637260437
35	-1010.0457	54.290596	-877.21936	-1099.8658	200.0	-369.4826	173.9884	-312.6979	-533.8409	140000	-5.9604646e-09	13044.428	-0.003304009	-117.379196	0.5623722	0.0044308896	0.055	79.0	41.403658390045166
36	-1040.9033	77.21065	-829.0261	-1205.6819	200.0	-362.57632	249.40355	-307.2584	-520.807	144000	-6.7055224e-09	13886.057	-0.0016207425	-208.62265	0.5570617	0.0048896717	0.044749998	79.0	42.48777770996094
37	-1053.217	160.1592	-826.8393	-1488.5751	200.0	-376.8807	337.9094	-326.64948	-533.06757	148000	-2.2351743e-09	14271.932	-0.002602103	-567.89435	0.56019354	0.0051470296	0.0625	79.0	43.55159020423889
38	-1029.2766	143.2444	-731.2508	-1295.8788	200.0	-366.56125	325.3829	-306.07965	-571.8669	152000	7.0780515e-09	11377.7295	-0.003097331	-430.9441	0.54884243	0.009521687	0.060500003	79.0	44.635005712509155
39	-960.0609	171.24422	-626.42053	-1215.6564	200.0	-363.336	462.53342	-296.3741	-581.78455	156000	2.9802323e-09	12230.648	-0.002040788	-801.1003	0.52916956	0.005504672	0.059000004	79.0	45.706002950668335
40	-1009.8631	234.19322	-501.19247	-1415.5524	200.0	-352.91	668.8842	-276.2379	-572.21906	160000	0.0	13408.419	-0.0028025243	-939.8903	0.5163046	0.004318082	0.075	79.0	46.77588987350464
41	-1050.6212	56.043854	-741.6162	-1443.7815	200.0	-355.8329	317.6586	-220.56133	-587.2118	164000	-2.6077032e-09	11623.25	-0.0036987686	-206.64893	0.508356	0.008903401	0.077	79.0	47.86365270614624
42	-978.95087	108.91297	-752.0912	-1171.0427	200.0	-330.97488	306.17377	-239.08257	-580.093	168000	2.6077032e-09	12504.525	-0.0036693658	-556.33203	0.5095426	0.0039571715	0.076	79.0	48.947465896606445
43	-956.283	203.74983	-597.71515	-1363.9991	200.0	-356.29092	480.7913	-257.03128	-572.64014	172000	-1.4901161e-09	14097.32	-0.0036206592	-1048.7639	0.49263301	0.0037312252	0.0855	79.0	50.02648329734802
44	-933.174	155.51686	-619.5113	-1085.1879	200.0	-330.13657	540.59467	-197.99915	-570.63574	176000	-2.2351743e-09	12269.378	-0.0032739243	-341.75848	0.47776324	0.0027860063	0.06925	79.0	51.09777045249939
45	-948.88635	187.03139	-625.77856	-1488.1198	200.0	-335.294	575.2421	-205.57516	-569.3087	180000	0.0	14585.388	-0.0035651557	-2099.3293	0.47012	0.004825254	0.068	79.0	52.17754006385803
46	-929.66345	132.94507	-522.88214	-1220.8096	200.0	-322.91537	920.1091	-134.82068	-548.46265	184000	-5.2154063e-09	14659.018	-0.005232433	-1769.695	0.4640482	0.0076316684	0.09550001	79.0	53.24442386627197
47	-961.67346	97.68784	-632.66425	-1239.166	200.0	-353.97925	303.00296	-187.1291	-574.3721	188000	7.4505807e-10	10678.768	-0.0048073204	-238.70007	0.43364197	0.006318896	0.083000004	79.0	54.31408381462097
48	-894.77637	83.82036	-658.3596	-1140.8677	200.0	-297.39145	534.4583	-156.79987	-579.4528	192000	2.6077032e-09	9096.317	-0.002575092	-985.89075	0.41139603	0.002578648	0.051250003	79.0	55.393054246902466
49	-936.21893	54.67011	-760.4265	-1094.3931	200.0	-348.06863	740.79065	-197.52003	-567.47974	196000	-4.4703485e-09	15555.034	-0.0022883525	-4143.729	0.4032846	0.003889922	0.051	79.0	56.463876485824585
50	-938.179	75.67962	-747.20636	-1128.8947	200.0	-333.31094	250.46013	-268.96985	-542.1606	200000	1.4901161e-09	9806.3545	-0.0035380994	-285.9725	0.38745776	0.0052663498	0.08375	79.0	57.54149770736694
51	-857.5275	149.38454	-622.2152	-1079.4009	200.0	-326.10553	175.46904	-260.3108	-542.0442	204000	7.4505807e-10	11564.779	-0.002014219	-549.00464	0.38550907	0.0017216268	0.0595	79.0	58.61267614364624
52	-947.89374	163.55742	-727.3429	-1363.1616	200.0	-317.513	493.71967	-236.72852	-524.8092	208000	0.0	9356.472	-0.003882444	-275.47128	0.37907773	0.008995265	0.08499999	79.0	59.68504977226257
53	-918.3677	106.78192	-628.5096	-1109.5219	200.0	-312.86707	252.90367	-245.27814	-553.71674	212000	-2.9802323e-09	9150.229	-0.005101655	-941.4772	0.34500432	0.005277592	0.094	79.0	60.752652645111084
54	-901.042	127.945404	-621.7935	-1119.5436	200.0	-321.33075	417.7068	-237.18336	-541.3968	216000	-1.8626451e-09	9834.0205	-0.002055123	-266.9408	0.33211124	0.004998874	0.085	79.0	61.81972146034241
55	-886.78094	130.46045	-623.7612	-1081.703	200.0	-328.82516	256.85696	-252.58655	-532.7775	220000	-2.6077032e-09	11327.946	-0.004101039	-1997.6039	0.32005954	0.0053452626	0.0675	79.0	62.89217185974121
56	-897.6574	122.987686	-518.45575	-1092.9453	200.0	-296.05823	359.99377	-201.4734	-503.486	224000	-7.4505807e-10	10570.841	-0.0025777325	-362.3872	0.3032875	0.0042799115	0.069749996	79.0	63.96378469467163
57	-894.9066	149.55618	-510.7654	-1094.741	200.0	-313.16586	470.61282	-222.5716	-526.5729	228000	-2.2351743e-09	9064.583	-0.0029713903	-71.48103	0.30585068	0.00681463	0.07224999	79.0	65.04788947105408
58	-882.07214	120.99577	-632.58295	-1037.9507	200.0	-315.87	241.34775	-220.96358	-516.8973	232000	-2.9802323e-09	10922.007	-0.0028047697	-1336.4602	0.2941814	0.00721047	0.095249996	79.0	66.11521673202515
59	-850.7673	164.07765	-411.50336	-1098.1759	200.0	-297.51526	687.30396	-163.34586	-524.8599	236000	0.0	9865.967	-0.0038157552	-1005.3168	0.2780667	0.0085390415	0.076	79.0	67.18094801902771
60	-837.9498	175.85316	-523.78595	-1125.814	200.0	-305.83173	327.0323	-209.06953	-541.7271	240000	-1.4901161e-09	9308.68	-0.0021030712	-573.3959	0.26806536	0.009296951	0.082499996	79.0	68.25648641586304
61	-814.2372	138.62558	-589.3948	-1042.1749	200.0	-279.22495	424.4601	-167.6092	-530.9232	244000	2.2351743e-09	7754.9595	-0.0028446869	-454.7561	0.25814468	0.0050126323	0.06525	79.0	69.32475662231445
62	-805.33514	167.18636	-547.2132	-1066.1454	200.0	-285.06915	744.0765	-150.10716	-519.7197	248000	-2.9802323e-09	8268.089	-0.005614908	-854.3418	0.22419575	0.010570852	0.1075	79.0	70.41172099113464
63	-806.6138	112.565895	-621.6142	-1017.237	200.0	-267.99268	363.2775	-150.79602	-491.13513	252000	-7.823109e-09	6394.782	-0.0049440274	-196.44951	0.20877823	0.0061226147	0.089999996	79.0	71.49356651306152
64	-788.567	118.965996	-583.12054	-1016.6386	200.0	-257.50623	503.1941	-148.73978	-501.91193	256000	3.7252903e-09	8407.775	-0.008186576	-219.54898	0.18170059	0.009493195	0.1165	79.0	72.5845410823822
