Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
1	-1180.2178	265.28397	-766.7087	-1874.9768	200.0	-0.024075469	0.04314243	0.009975183	-0.09150028	20000	-3.948808e-08	141684.95	-0.00025928902	-2589.9539	0.91893846	0.0029249087	0.015349999	79.0	4.210248708724976
2	-1149.0562	291.87335	-752.2827	-1822.4688	200.0	-4.390509	7.5032315	-0.85861933	-11.40362	40000	-1.7136335e-08	129037.3	-0.00025320216	-19342.865	0.9141914	0.0025439449	0.028549999	79.0	7.510354280471802
3	-1115.3064	362.72067	-721.44324	-1853.191	200.0	-38.947067	145.99652	-3.7225957	-108.65554	60000	3.7252904e-10	104537.31	-0.00018955584	-34659.93	0.8910502	0.0036886625	0.01725	79.0	11.031200170516968
4	-1147.352	339.99094	-745.2264	-1876.8475	200.0	-121.51212	276.7747	-8.481311	-347.49448	80000	-6.7055224e-09	79392.56	-0.00039113336	-24797.13	0.88416064	0.0038971852	0.0319	79.0	14.8703293800354
5	-1076.9425	339.65356	-634.3968	-1757.7914	200.0	-222.75137	347.1218	-12.890915	-545.6846	100000	0.0	47295.7	-0.00053164765	-7044.0327	0.90316886	0.002491578	0.012399999	79.0	18.137907028198242
6	-1086.7708	266.3631	-672.8434	-1751.8594	200.0	-240.88362	217.96457	-19.412413	-506.1133	120000	-8.381903e-09	40898.77	-0.0012204109	-6569.367	0.89937127	0.002941864	0.0287	79.0	21.366152048110962
7	-1117.7273	185.24692	-638.63385	-1779.2611	200.0	-269.41995	335.46658	-30.663568	-510.6157	140000	-4.2840838e-09	34444.57	-0.0019239396	-5534.04	0.8994482	0.0037260675	0.027399998	79.0	24.693966150283813
8	-1070.016	226.96478	-677.97003	-1699.8141	200.0	-283.0958	583.42505	-41.763126	-520.8027	160000	-1.4901161e-09	27798.16	-0.0032203342	-3417.787	0.903557	0.0048356825	0.0358	79.0	27.977008819580078
9	-1031.3699	186.62161	-628.1838	-1605.9022	200.0	-276.51474	520.94135	-64.68018	-466.37256	180000	1.1175871e-09	22640.746	-0.0022002184	-2001.5686	0.922747	0.004573169	0.0361	79.0	31.491774797439575
10	-1021.28284	249.7647	-641.1621	-1482.3916	200.0	-277.00085	789.9146	-90.69703	-432.62698	200000	2.2351743e-09	19504.004	-0.0037196856	-1380.6704	0.93585855	0.0030345428	0.02635	79.0	34.70010471343994
11	-974.95685	167.7624	-627.10675	-1519.3086	200.0	-272.0278	491.47516	-117.791336	-401.70615	220000	3.3527612e-09	18374.098	-0.005110418	-845.7127	0.926729	0.0038828712	0.0383	79.0	37.928152084350586
12	-946.53955	178.49844	-610.80664	-1502.9384	200.0	-268.2408	432.95984	-137.88213	-385.6176	240000	-4.4703485e-09	16015.195	-0.0020248946	-738.2243	0.9160512	0.0039357287	0.02685	79.0	41.136616230010986
13	-950.84143	149.82266	-628.07086	-1381.0458	200.0	-266.67416	365.73703	-154.83101	-372.2739	260000	5.5879354e-09	14347.365	-0.0025810017	-179.47617	0.9071387	0.004035211	0.03585	79.0	44.36305904388428
14	-904.0817	108.66576	-581.8215	-1393.6447	200.0	-261.45435	266.37106	-161.19395	-371.44394	280000	9.220093e-09	13101.404	-0.0027092171	-279.71933	0.8816711	0.0026457203	0.03095	79.0	47.79804801940918
15	-871.8655	141.42836	-504.93756	-1395.4764	200.0	-246.96774	318.80606	-162.1286	-351.16476	300000	-1.974404e-08	12434.465	-0.0039733546	-170.68877	0.86824906	0.0040732296	0.0347	79.0	51.087005853652954
16	-872.48065	139.61003	-501.37952	-1293.7511	200.0	-246.1275	311.58398	-166.39973	-340.52478	320000	5.9604646e-09	11679.455	-0.003941069	-135.27197	0.8460332	0.0034424127	0.0326	79.0	54.38519072532654
17	-841.0126	132.57387	-504.01767	-1464.7815	200.0	-237.85605	250.84776	-161.96745	-335.56317	340000	1.1175871e-08	11867.0	-0.003056433	-91.36035	0.8344472	0.0034229911	0.027	79.0	57.915775775909424
18	-823.1906	128.36554	-375.94485	-1221.4348	200.0	-233.62115	210.9612	-160.67615	-330.59665	360000	-2.8871e-09	10984.99	-0.0025252695	-217.07657	0.8283442	0.004136585	0.041100003	79.0	61.365246057510376
19	-842.21576	154.42343	-498.95398	-1527.7166	200.0	-226.54718	261.17545	-145.9881	-331.21713	380000	-3.7252903e-09	10788.956	-0.0015504669	-198.59482	0.8184757	0.0027742195	0.024	79.0	64.75528478622437
20	-773.1331	161.99496	-503.63336	-1125.4727	200.0	-215.28075	325.13757	-136.47263	-340.7265	400000	-3.0733645e-09	9305.904	-0.002023982	-324.04132	0.8060958	0.003528423	0.03785	79.0	68.24045181274414
21	-698.1199	134.04358	-380.4072	-1215.5924	200.0	-200.96097	215.55215	-131.6645	-327.06903	420000	4.4703485e-09	8223.007	-0.0023389664	-346.9134	0.8058424	0.0048997975	0.039699998	79.0	71.74040150642395
22	-707.43896	192.54103	-249.63402	-1231.3876	200.0	-191.18181	279.15366	-129.79803	-300.9593	440000	3.7252904e-10	8019.0312	-0.001782956	-263.14023	0.81330967	0.0040812087	0.04395	79.0	75.29043078422546
23	-622.43256	72.46773	-249.64124	-1082.6625	200.0	-177.753	116.657715	-116.37123	-310.37207	460000	4.842877e-09	7064.3687	-0.0058263307	-517.8639	0.80087835	0.004293265	0.0635	79.0	79.09971523284912
24	-591.1489	222.22511	-126.51684	-1214.074	200.0	-160.4358	297.14526	-103.83663	-291.29825	480000	1.3969839e-09	6716.2354	-0.0011052331	-719.1931	0.7734473	0.002896288	0.030949999	79.0	83.45863151550293
25	-446.2185	135.98514	-124.10667	-1043.1251	200.0	-128.89494	180.92438	-80.379814	-299.97717	500000	2.6077032e-09	5500.9585	-0.002336673	-834.4723	0.76901734	0.00333468	0.0477	79.0	86.89758658409119
26	-419.81866	240.32185	-1.2542403	-1216.996	200.0	-103.42369	388.9973	-58.669666	-283.11334	520000	7.4505807e-10	4359.7866	-0.0013332204	-497.27304	0.7643856	0.004230715	0.04045	79.0	90.51627516746521
27	-374.5333	274.33707	-0.8256483	-886.20294	200.0	-87.074615	493.75662	-43.448997	-290.08273	540000	-3.1664968e-09	3017.0547	-0.0010470187	-687.76544	0.7651309	0.0044273087	0.03635	79.0	93.74957060813904
28	-277.75534	238.0289	-0.77716696	-772.65894	200.0	-59.159313	458.03247	-25.655481	-293.0223	560000	2.4214386e-09	1806.7777	-0.0011562884	-317.06976	0.7735323	0.0026191785	0.0171	79.0	96.9745740890503
29	-308.33817	212.12213	-0.5650889	-974.74554	200.0	-53.58167	400.07736	-15.572852	-292.19946	580000	-7.4505807e-10	1397.8466	-0.001431814	-202.31934	0.77751476	0.0024845214	0.01875	79.0	100.16778683662415
30	-308.18475	167.6499	-0.6785084	-834.7701	200.0	-50.01015	327.67065	-10.503076	-303.50656	600000	-1.8626452e-10	997.535	-0.0011038346	-149.8237	0.7769841	0.0023956834	0.01695	79.0	103.27957105636597
31	-279.783	97.034775	-0.43196556	-699.25665	200.0	-41.179474	199.8996	-7.0906453	-305.7143	620000	0.0	659.6411	-0.0013530384	-96.01698	0.7645728	0.0017948989	0.01905	79.0	106.41878485679626
32	-253.33383	189.70721	-0.6629369	-727.3495	200.0	-34.45225	411.49298	-4.8936353	-304.2596	640000	-2.6077032e-09	452.64276	-0.001985108	-46.292732	0.76029694	0.0025141113	0.027449999	79.0	109.50759243965149
33	-238.48175	111.46242	-0.47369513	-635.9095	200.0	-29.902494	220.87752	-3.3740537	-303.7302	660000	7.4505807e-10	337.11795	-0.0024976924	-32.51237	0.7552737	0.0015540026	0.021	79.0	112.97592043876648
34	-216.10574	145.61871	-0.8001757	-613.24677	200.0	-24.694197	290.25357	-1.9546157	-303.11307	680000	1.1175871e-09	246.07486	-0.0025163484	-18.183264	0.75858474	0.0023275358	0.0178	79.0	116.57802772521973
35	-222.90366	149.10747	-0.39980343	-799.0131	200.0	-24.355188	296.21277	-0.5147818	-303.08548	700000	7.4505807e-10	262.3089	-0.0012103729	-11.43104	0.75253713	0.0024415064	0.01785	79.0	120.0237123966217
36	-188.93532	92.70117	-0.6248586	-490.76538	200.0	-18.9395	178.2372	0.3282459	-300.013	720000	-2.2351743e-09	171.59723	-0.0017278824	-10.290596	0.75899583	0.0015666119	0.0211	79.0	123.35495972633362
37	-212.90211	199.57356	-0.98166806	-502.8986	200.0	-21.301556	379.69528	1.5203449	-299.5889	740000	-3.7252904e-10	171.95157	-0.0012143932	-5.4641123	0.73799956	0.0023162372	0.015999999	79.0	126.54459357261658
38	-204.61128	159.61806	-0.42673877	-605.7217	200.0	-20.799006	330.04294	1.2892877	-302.17825	760000	0.0	167.05154	-0.0007304014	-5.639178	0.72817063	0.0025140285	0.023899999	79.0	129.6639666557312
39	-171.56339	111.35797	-0.46701485	-457.86942	200.0	-16.05699	202.49202	2.1203108	-300.36157	780000	-7.4505807e-10	118.23169	-0.0012839552	-5.560429	0.72357285	0.001487511	0.014599999	79.0	132.75885128974915
40	-194.92441	97.36822	-0.86685526	-518.6815	200.0	-17.31562	193.11844	3.3138118	-296.92834	800000	-1.1175871e-09	153.03694	-0.0011009283	-5.1637716	0.7062597	0.0040738927	0.04405	79.0	135.84100341796875
41	-183.34467	120.25757	-0.4165613	-648.553	200.0	-17.370308	217.9675	2.4638789	-296.30338	820000	1.1175871e-09	176.69247	-0.0014356032	-3.4178681	0.6817646	0.001364716	0.0131	79.0	138.96094155311584
42	-182.71504	101.34497	-0.36295295	-571.36444	200.0	-16.70946	186.59784	2.7372048	-295.1733	840000	-3.7252904e-10	158.09245	-0.0010957906	-3.6325843	0.6704341	0.0028022006	0.0202	79.0	142.0763726234436
43	-179.01268	129.99452	-0.3729637	-478.66757	200.0	-16.72606	235.23373	2.6778495	-292.75925	860000	-7.4505807e-10	152.29585	-0.0010804615	-7.111033	0.666083	0.0014248764	0.0123000005	79.0	145.181964635849
44	-164.42867	60.18453	-0.55444604	-380.67065	200.0	-14.171133	125.06208	2.944224	-288.42746	880000	3.7252904e-10	117.666176	-0.000704711	-5.0980515	0.6514281	0.0010491704	0.01235	79.0	148.69158792495728
45	-179.405	114.27276	-0.43291637	-469.3645	200.0	-15.480403	208.10866	3.7822058	-284.07208	900000	-8.381903e-10	127.18961	-0.0007589812	-2.356484	0.6385025	0.0023656064	0.0185	79.0	151.9002561569214
46	-168.58028	124.36219	-0.31623307	-430.30054	200.0	-14.700465	200.5472	3.8177397	-281.37766	920000	3.7252904e-10	124.93419	-0.0014464735	-4.1472826	0.62524116	0.0030841276	0.027600002	79.0	155.43273401260376
47	-168.73529	74.97114	-0.35187504	-460.7398	200.0	-14.517406	128.30293	3.5876276	-280.69382	940000	-7.4505807e-10	95.367676	-0.0009967008	-3.8473835	0.6126932	0.0017655765	0.014049999	79.0	158.55825781822205
48	-201.6723	76.74151	-0.3949561	-557.45874	200.0	-17.97552	109.323715	4.707832	-277.37738	960000	-2.6077032e-09	141.91035	-0.0010037918	-3.8906472	0.5894847	0.0016707827	0.01175	79.0	161.83936762809753
49	-174.596	130.71379	-0.28425112	-481.4108	200.0	-15.366775	241.35905	3.6163354	-278.53607	980000	1.1175871e-09	97.86833	-0.0017775539	-1.9866836	0.57903564	0.0022195776	0.023650002	79.0	165.2596652507782
